Titulo,Preco,Modelo,Fabricante,Ano,Combustivel,Tipo do Veiculo,Potencia,Km Rodado,Direção,Cambio,Cor,Portas,Link,Dates,fipe,rate
Venda,3000,POLO CLASSIC/ SPECIAL 1.8 MI,VW - VOLKSWAGEN,2000,Gasolina,Sedã,1.8,150000,Hidráulica,Manual,Prata,4 portas,https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/venda-895865788,2021-06-19,8800,65
Golf ,3500,GOLF GLX 2.0 4P,VW - VOLKSWAGEN,1996,Gasolina,Passeio,2.0 - 2.9,11111111,Mecânica,Manual,Verde,4 portas,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/autos-e-pecas/carros-vans-e-utilitarios/golf-895860372,2021-06-19,9525,63
"Celta 2009 só pra rodar ""da pra correr atrás se quiser""",5800,CELTA SPIRIT 1.0 MPFI 8V FLEXPOWER 3P,GM - CHEVROLET,2009,Flex,Hatch,1.0,200000,Mecânica,Manual,Preto,2 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/celta-2009-so-pra-rodar-da-pra-correr-atras-se-quiser-895857186,2021-06-19,15555,62
Ford fiesta,7300,FIESTA 1.0 8V FLEX/CLASS 1.0 8V FLEX 5P,FORD,2009,Flex,Hatch,1.0,84000,Mecânica,Manual,Prata,4 portas,https://sp.olx.com.br/baixada-santista-e-litoral-sul/autos-e-pecas/carros-vans-e-utilitarios/ford-fiesta-895881530,2021-06-19,18910,61
Carro Nissan Sentra 2.0 leilão automático ,12000,SENTRA 2.0/ 2.0 FLEX FUEL 16V AUT.,NISSAN,2010,Flex,Passeio,2.0 - 2.9,128000,Hidráulica,Automático,Preto,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/carro-nissan-sentra-2-0-leilao-automatico-887192238,2021-06-19,29153,58
Nissan Kicks S 1.6 Flex,32750,KICKS S 1.6 16V FLEXSTAR 5P MEC.,NISSAN,2019,Gasolina,,,999999,,Manual,Branco,,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/nissan-kicks-s-1-6-flex-664236410,2021-06-19,70964,53
Mini Cooper S 2.0 Turbo Aut.,41250,COOPER S 2.0 TURBO 16V 3P MEC.,MINI,2015,Gasolina,,,999999,,Automático,,,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/mini-cooper-s-2-0-turbo-aut-695724330,2021-06-19,87062,52
Golf Sportline ,17500,GOLF SPORTLINE 1.6 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,2010,Flex,Passeio,,170,Hidráulica,Manual,Preto,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/golf-sportline-895893251,2021-06-19,35863,51
A5 Sportback 1.8 Tfsi Aut,52750,A5 SPORTBACK 1.8 TFSI 170CV MULTI.,AUDI,2016,Gasolina,,,999999,,Automático,Preto,,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/a5-sportback-1-8-tfsi-aut-688360726,2021-06-19,107100,50
Sandero HI-Power 1.0 completo. Oportunidade,16800,SANDERO EXPRESSION HI-POWER 1.0 16V 5P,RENAULT,2016,Flex,Passeio,1.0,86000,Hidráulica,Manual,Prata,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/sandero-hi-power-1-0-completo-oportunidade-895891381,2021-06-19,33083,49
Nissan March Flex,10750,MARCH 1.0 16V FLEX FUEL 5P,NISSAN,2012,Gasolina,,,999999,,Manual,Prata,,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/nissan-march-flex-665512628,2021-06-19,21263,49
HB20X Premium 1.6 Automático 16/16 - Consórcio Caoa,28900,HB20X PREMIUM 1.6 FLEX 16V AUT.,HYUNDAI,2016,Flex,Hatch,1.6,55500,Elétrica,Automático,Prata,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hb20x-premium-1-6-automatico-16-16-consorcio-caoa-889867947,2021-06-19,55299,47
Agile LT ,14000,AGILE LT 1.4 MPFI 8V FLEXPOWER 5P,GM - CHEVROLET,2011,Flex,Hatch,1.4,110000,Hidráulica,Manual,Prata,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/agile-lt-895875626,2021-06-19,25693,45
"Versalles 2.0 ano 1993 Motor e câmbio ""NOVO""",3200,VERSAILLES GL 2.0I / 2.0 2P E 4P,FORD,1993,Gasolina,Sedã,2.0 - 2.9,30000000,Hidráulica,Manual,Cinza,2 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/versalles-2-0-ano-1993-motor-e-cambio-novo-895909405,2021-06-19,5821,45
vendo palio EX,6000,PALIO EX 1.0 MPI FIRE 8V 4P,FIAT,2001,Gasolina,Hatch,1.0,278000,Hidráulica,Manual,Preto,2 portas,https://sp.olx.com.br/regiao-de-bauru-e-marilia/autos-e-pecas/carros-vans-e-utilitarios/vendo-palio-ex-895853777,2021-06-19,10913,45
Vendo Kadett 91,3000,KADETT GLS 1.8 EFI / SL/E 1.8,GM - CHEVROLET,1991,Gasolina,Passeio,1.8,171762,Mecânica,Manual,Preto,2 portas,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/vendo-kadett-91-895863709,2021-06-19,5118,41
Carro.,18000,STILO DUALOGIC 1.8 BLACKMOTION FLEX 8V,FIAT,2010,Flex,Hatch,1.8,95,Elétrica,Semi-Automático,Preto,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/carro-895858545,2021-06-19,30021,40
